candidate_id,current_title,pipeline_rank,llm_rank,judge_rank,judge_mean_score,llm_fit_0_10,total_score,why
mahnoor-ijaz-004690167,Assistant Manager Human Resources,121,131,,,1,0.4488,
monika-bhati-651b782b3,Assistant Manager Human Resources,122,44,75,27.25,5,0.4478,"Three recent UAE HR-titled roles but essentially no described duties — only generic labels and skills, yielding very poor evidence quality. No UAE compliance/payroll/PRO evidence; supervisory-leaning Assistant Manager title with 'senior' seniority and Team Management/Leadership skills against a hands-on non-supervisory seat; short, hopping recent tenures; no named HRIS and no preferred signals. Only an explicit 'Blue Collar Recruitment' skill and Excel support fit. Lowest overall."
niamh-mullarkey-279b3a209,Global Senior HR Coordinator,123,80,,,3,0.4467,
abdallah-bin-massoud-8290a5147,HR Executive,124,134,,,0,0.4453,
dawood-imran-hr,HR & Administration Executive,125,9,32,54.5,8,0.4399,"Good level and sector alignment: a junior, hands-on HR seat with real oil & gas industrial/site-workforce exposure and a CIPD credential. However the UAE compliance/payroll/PRO evidence is generic (no explicit labour-law, visa, portal or WPS terms), and the profile is thinly populated (empty skills/languages, null role descriptions), which caps the depth and evidence-quality scores."
afna-naseeba-719799265,Human Resources Assistant,126,127,,,1,0.4397,
ramihanbali,HR- Social Purpose Project Coordinator,127,82,,,3,0.4354,
anandhu-s-30a9b61b9,Assistant Human Resources Officer,128,3,70,30.5,9,0.434,"The current junior HR-officer title at a concrete manufacturer gives real industrial context, but there is no described HR-operations or UAE-compliance work, and the prior career is retail/travel/sales. With near-empty descriptions and no preferred signals, evidenced fit is the lowest in the batch."
afrazshaikh,Recruiter,129,142,,,0,0.4323,
alhassanaltameemi,Senior Officer - HR Governance,130,73,,,4,0.4238,
naina-joshi-hr-692b45228,Admin,131,86,,,3,0.4213,
che-ibardelosa-a538072a1,Human Resources Assistant,132,1,70,30.5,9,0.4201,"Titles fit a junior UAE payroll/HR seat, but the profile supplies no descriptions, no HR-systems evidence, and no explicit compliance depth. Despite a Philippines background, the empty languages field means Tagalog/Filipino cannot be credited, and no other preferred signals are evidenced."
zahra-wael-033756351,Human Resources Manager,133,141,,,0,0.4168,
ayesha-shams-718356251,Service Delivery & Welfare Executive,134,97,,,2,0.4082,
paula-roig-outeiriñoatlantisdubai,HR Operations Assistant Manager,135,139,,,0,0.4072,
ahmed-sameh-8864091a3,HR Executive Al Mazroui Engineering Co. LLC,136,26,78,21.0,6,0.4009,"The title (HR Executive at an engineering company) and junior tenure nominally fit an assistant seat, but the profile is almost empty — one skill label, no descriptions, no systems, and no compliance/payroll/PRO or operations evidence. With virtually nothing concrete to credit, it ranks last on evidence quality and every substantive HR section."
swathi-ar-84681417b,Executive HR,137,50,67,33.0,4,0.3997,"A well-placed construction-sector employer and stable tenure are the main positives, but almost nothing is evidenced — undescribed roles, two skills, no about — so unlisted UAE compliance and HR-ops capability cannot be credited. Sector fit alone can't lift it far."
aaqib-mohamed-734b30271,Human Resources Assistant,138,43,77,27.0,5,0.3858,"Sits at the right level (current entry HR Assistant) and explicitly lists English, but the profile provides essentially no HR substance: no described HR duties, zero UAE compliance/PRO evidence, and a background dominated by order management, credit control and script writing. Concrete evidence appears only for non-HR roles, giving the weakest job fit of the three."
malavika-sunil-a3a16620b,HR &Talent Acquisition Executive,139,130,,,1,0.3812,
mohini-ingale-1b2093237,HR Officer,140,94,,,3,0.3775,
houda-belfatmi-47ab5934a,HR & Executive Coordinator,141,87,,,3,0.3663,
rose-de-castro-b92a76250,Human Resources Executive / Executive Assistant,142,22,76,28.0,6,0.3659,"Titles and an HR degree signal a genuinely junior, hands-on UAE HR profile with coherent tenure, and the engineering-consultancy stint adds mild industrial adjacency. But the profile supplies no duty descriptions, no skills, no systems, and no compliance/payroll/PRO evidence, so almost every substantive section is unevidenced. Language cannot be inferred from the Philippines education. Ranks low on evidence, not on plausibility."
veronica-aguila-00ab44100,Assistant Manager Human Resources,143,117,,,1,0.3645,
burul-asylbekova-00069a222,Assistant Manager Human Resources,144,116,,,1,0.3583,
amal-ragesh,HR Executive,145,40,74,29.0,5,0.3575,"An HR-titled UAE profile with an MBA in HR, but the evidence is extremely thin: no duty descriptions, empty skills/languages, and no UAE statutory, systems, industrial, or preferred-signal content. Scored lowest because almost nothing beyond job titles is concretely evidenced."
